2025-02-04 10:35:51 [main] INFO  a.repositories.BiddingRepository - Bids file deleted when starting repository.
2025-02-04 10:35:52 [main] INFO  auction.security.KeyService - Generating RSA key pair...
2025-02-04 10:35:56 [main] INFO  auction.security.KeyRepository - Server keys saved successfully.
2025-02-04 10:35:56 [main] INFO  auction.security.KeyService - RSA key pair successfully generated and saved.
2025-02-04 10:35:56 [Thread-2] INFO  auction.services.MulticastService - Trying to connect to multicast group at 230.0.0.1:5000
2025-02-04 10:35:56 [Thread-1] INFO  auction.stubs.UserServiceStub - Server started on port 8080
2025-02-04 10:35:56 [Thread-2] INFO  auction.services.MulticastService - Network interface found: Intel(R) Dual Band Wireless-AC 3168
2025-02-04 10:35:56 [Thread-2] INFO  auction.services.MulticastService - Connection to multicast group 230.0.0.1:5000 succeeded.
2025-02-04 10:35:56 [Thread-2] INFO  auction.services.MulticastService - Waiting for multicast message...
2025-02-04 10:35:57 [main] INFO  auction.views.panels.PnProducts - Produtos existentes no repositório
2025-02-04 10:36:43 [Thread-1] INFO  auction.stubs.UserServiceStub - Connection established with client: /127.0.0.1:52630
2025-02-04 10:36:43 [Thread-1] INFO  auction.stubs.UserServiceStub - Received request: {"action":"SIGN-UP","name":"Test","password":"$2a$10$.z52ams3LLqi.vi.8/68XOOzfHny70H3ewozGaemPv.8bgmjZd/S2","id":null,"encodedPublicKey":"MIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAupv/WV/Uk/5oy4zAHWufeQk7nG/meokVWTtPjn6LboT0LEMTWLQUtGpeVbUZRQFihXIwQT3A9k5PGkrPFlP3FkDkH/IGdzma2TGeC0AoRMqD0L6ijf32oYnouFamkvbfdy8nV/NeQ9bdFwDcACpRXKzlN0qyZhFKli1TT8hgG5C2AyU8UK5wPcck/HV/tVEWg/swE4X7cYJnGGm0UObnGwD7hzXKGmFjyGQZHmdDoJXmupSnhet5epuePJxvKnSbWIJtpQ3T9pNtIOQBaN1DZuPTc2atYFq/6SI350Nq+AlnC+GiqTTs40SiacDhcDW7mBNCOw5FxmPCGWwAsHsjR3DQqdxSoQZvpjhJjsO9US6GjCCMHzAiwX9peqhrYQ27DEUSHWkAzYhuq7bdipS7BYrMb/Uz5B6dVRPLkl9hsVLg7R49To4LobWIyzyQhUOPSh/rcFsawuNeOwfmqLbs7in6I5wNE7N6HCK8Q2SSUU+gFi1xwyj4NPeNiXlr3IIKfQ9y/+UtaRixRzVIt8gYxQuKFrO3eKR7TZq0t7nCa+smg3FKFZ/TkxWoW7FSBu8Mkp3eTgYez/QCNcxVusxCMEvFu/ycOU0BhxvGowt3KiB6fVC7eep43qcldZd1xA9kdsQ2Cr3cuc3o8aGwsXAw5tXDWs8QdpSabyDUpZN4QNMCAwEAAQ=="}
2025-02-04 10:36:43 [Thread-1] INFO  auction.repositories.UserRepository - User successfully added: Test
2025-02-04 10:36:43 [Thread-1] INFO  auction.repositories.UserRepository - Users successfully saved after adding: 9c5eca44-bd8f-4ea1-b1f8-2ac80cbbd9ef
2025-02-04 10:36:43 [Thread-1] INFO  auction.stubs.UserServiceStub - User registered successfully: 9c5eca44-bd8f-4ea1-b1f8-2ac80cbbd9ef
2025-02-04 10:36:43 [Thread-1] INFO  auction.stubs.UserServiceStub - Sending response: {"status":"SUCCESS","message":"9c5eca44-bd8f-4ea1-b1f8-2ac80cbbd9ef","data":null}
